intersection_id,longitude,latitude,net_x,net_y,nearest_edge,enter_edge,exit_edge,nearest_lane,dist_m,to_junction,candidates
I3088,172.6396225,-43.52087422,1531.339,2212.86,896891141#1,896891141#1,1255161073#1,896891141#1_0,0.089,cluster_31796227_32335970_7252311743_9913695492_#1more,896891141#1:0.09m;896891141#1:0.26m;896891141#1:0.48m;392044387#1:0.53m;-392044387#1:0.69m;902156794#1:1.06m;902156794#1:1.1m;1255161073#1:1.1m
I3093,172.6396264,-43.52657835,1519.166,1579.348,392044386#1,406753472#1,-406753472#1,392044386#1_1,0.293,31064643,392044386#1:0.29m;392044386#1:0.64m;406753472#1:0.83m;-406753472#1:1.01m;-463039420#0:1.05m;23146872#1:1.05m;463039420#0:1.05m;23146872#1:1.05m
I3096,172.6396771,-43.52875962,1518.487,1337.013,396340836#2,651950549#0,-651950549#0,396340836#2_0,0.334,cluster_13697298250_13697298257_13697298259_13697298261_#5more,396340836#2:0.33m;-396340836#2:0.45m;651950549#0:0.56m;-651950549#0:0.64m;-32030577#0:0.72m;32030577#0:0.72m;-993555376#0:0.72m;494827032#2:0.72m
I3097,172.6396834,-43.53094468,1514.212,1094.328,830501798#1,4830778,535471224#1,830501798#1_0,0.015,cluster_11957964337_11957964338_11957964341_31813685_#1more,830501798#1:0.02m;-830501798#1:0.15m;4830778:0.61m;-535471224#1:0.62m;-535471224#1:0.62m;-993555374#0:0.62m;-4830778:0.62m;535471224#1:0.62m
I3098,172.6396843,-43.52985171,1516.678,1215.713,-436513714#0,-436513714#0,436513714#0,-436513714#0_1,0.288,cluster_11957964328_11957964332_11957964333_13445118801_#2more,-436513714#0:0.29m;436513714#0:0.3m;-436513714#0:0.84m;494827032#2:2.04m;993555375#2:2.2m;494827032#2:2.21m;993555375#2:2.29m;-993555376#0:2.3m
I3100,172.6396965,-43.53312209,1510.502,852.482,987155148#1,830501797#0,987155148#1,987155148#1_1,0.019,cluster_12920592589_12920592590_12920592591_12920592592_#8more,987155148#1:0.02m;987155148#1:0.46m;830501797#0:0.73m;830501797#0:1.13m;1056154528#2:1.78m;-1056154531#0:1.82m;-95465477:1.82m;1395896891#1:1.82m
I3104,172.6396664,-43.53530046,1503.3,610.597,114914209#1,571961655#2,436515355#0,114914209#1_1,0.539,cluster_9124437579_9124437582,114914209#1:0.54m;1056138897#1:0.72m;114914209#1:0.87m;-1056138897#1:0.99m;-1056138897#1:1.16m;1056154549:1.26m;-571961656#0:1.26m;392044390#0:1.26m
I3105,172.6396445,-43.53421612,1503.905,731.06,-436514739#2,571961655#2,436515355#0,-436514739#2_0,0.944,cluster_9124437579_9124437582,-436514739#2:0.94m;571961655#2:1.51m;436514739#2:1.59m;436514739#2:2.1m;436515355#0:2.72m;-114914216#0:2.77m;114914216#0:2.77m;1395896894#2:2.77m
I3107,172.639657,-43.53639221,1500.15,489.361,646364260#1,-770109403#2,646364260#1,646364260#1_0,0.423,cluster_10993270295_10993270296_10993270297_31814141_#4more,646364260#1:0.42m;646364260#1:1.26m;-770109403#2:2.84m;770109403#2:3.11m;-1056138896#0:3.23m;1056138896#0:3.24m;1056138896#0:3.24m;823329197#0:3.24m
I3112,172.6396446,-43.53992779,1491.405,96.715,-1018478675#1,-1018478674#0,1018478674#0,-1018478675#1_0,0.697,cluster_31814650_cluster_13518425792_7198983682,-1018478675#1:0.7m;1018478675#1:1.08m;1018478676#1:1.38m;1018478675#1:1.42m;1018478676#1:1.7m;1018478675#1:1.72m;1018478676#1:2.01m;1018478676#1:2.3m
